72.8200290275762,7,"{'transitiontime': 16, 'hue': 32398, 'bri': 229, 'sat': 255}",low,Unmodified
73.325056689342404,10,"{'transitiontime': 1, 'hue': 93, 'bri': 182, 'sat': 225}",beat,Unmodified
74.22060957910014,7,"{'transitiontime': 12, 'hue': 26999, 'bri': 0, 'sat': 255}",high,Unmodified
74.31204644412192,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 69, 'hue': 13910, 'bri': 138, 'sat': 255}",arc,Safe
75.80696661828738,12,"{'transitiontime': 37, 'hue': 32398, 'bri': 229, 'sat': 255}",low,Safe
76.726780045351475,14,"{'transitiontime': 1, 'hue': 98, 'bri': 195, 'sat': 136}",beat,Unmodified
78.886235827664407,10,"{'transitiontime': 1, 'hue': 89, 'bri': 2, 'sat': 186}",beat,Safe
79.315804988662137,10,"{'transitiontime': 1, 'hue': 89, 'bri': 179, 'sat': 145}",beat,Unmodified
79.745374149659867,14,"{'transitiontime': 1, 'hue': 93, 'bri': 5, 'sat': 223}",beat,Unmodified
80.163333333333341,10,"{'transitiontime': 1, 'hue': 92, 'bri': 185, 'sat': 231}",beat,Unmodified
81.03408163265307,10,"{'transitiontime': 1, 'hue': 109, 'bri': 200, 'sat': 206}",beat,Unmodified
81.22641509433963,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 101, 'hue': 8535, 'bri': 157, 'sat': 255}",arc,Safe
82.23657474600871,11,"{'transitiontime': 33, 'hue': 32400, 'bri': 229, 'sat': 255}",low,Unmodified
82.740748299319733,8,"{'transitiontime': 1, 'hue': 92, 'bri': 182, 'sat': 247}",beat,Unmodified
84.041065759637192,8,"{'transitiontime': 1, 'hue': 95, 'bri': 6, 'sat': 236}",beat,Unmodified
84.470634920634922,7,"{'transitiontime': 1, 'hue': 109, 'bri': 199, 'sat': 183}",beat,Unmodified
85.05515239477504,11,"{'transitiontime': 16, 'hue': 27000, 'bri': 0, 'sat': 255}",high,Unmodified
85.329773242630395,12,"{'transitiontime': 1, 'hue': 89, 'bri': 180, 'sat': 241}",beat,Unmodified
85.747732426303855,11,"{'transitiontime': 1, 'hue': 117, 'bri': 28, 'sat': 184}",beat,Unmodified
86.15408163265306,12,"{'transitiontime': 1, 'hue': 128, 'bri': 226, 'sat': 231}",beat,Unmodified
87.1044992743106,11,"{'transitiontime': 5, 'hue': 32400, 'bri': 229, 'sat': 255}",low,Safe
